location,alias_city,alias_address,georeferencingString,type
MONTIRONE: Via Campagna : COD.ASL 17114/2R ,MONTIRONE,Via Campagna,"Via Campagna, MONTIRONE, BS, Lombardia, Italia",POINT
CASTENEDOLO: Via Pasubio : Capodimonte : COD.ASL 17043/4R ,CASTENEDOLO,Via Pasubio,"Via Pasubio, CASTENEDOLO, BS, Lombardia, Italia",POINT
Montirone : Via F. Corridoni,Montirone,Via F. Corridoni,"Via F. Corridoni, Montirone, BS, Lombardia, Italia",POINT
BRESCIA: Via Raffaello : San Polo : COD.ASL 17029/16R ,BRESCIA,Via Raffaello,"Via Raffaello, BRESCIA, BS, Lombardia, Italia",POINT
Brescia : Via Sabbioneta,Brescia,Via Sabbioneta,"Via Sabbioneta, Brescia, BS, Lombardia, Italia",POINT
BRESCIA: Via Caionvico : COD.ASL 17029/4R ,BRESCIA,Via Caionvico,"Via Caionvico, BRESCIA, BS, Lombardia, Italia",POINT
San Zeno Naviglio : Piazza G. Marconi,San Zeno Naviglio,Piazza G. Marconi,"Piazza G. Marconi, San Zeno Naviglio, BS, Lombardia, Italia",POINT
BAGNOLO MELLA: Via I Maggio : COD.ASL 17009/5R ,BAGNOLO MELLA,Via I Maggio,"Via I Maggio, BAGNOLO MELLA, BS, Lombardia, Italia",POINT
BORGOSATOLLO: Via IV Novembre : Piffione : COD.ASL 17021/4R ,BORGOSATOLLO,Via IV Novembre,"Via IV Novembre, BORGOSATOLLO, BS, Lombardia, Italia",POINT
BORGOSATOLLO: Via Toscanini : COD.ASL 17021/1R ,BORGOSATOLLO,Via Toscanini,"Via Toscanini, BORGOSATOLLO, BS, Lombardia, Italia",POINT
BRESCIA: Via Fiorentini : San Polo : COD.ASL 17029/15R ,BRESCIA,Via Fiorentini,"Via Fiorentini, BRESCIA, BS, Lombardia, Italia",POINT
BORGOSATOLLO: Via Pascoli : COD.ASL 17021/3R ,BORGOSATOLLO,Via Pascoli,"Via Pascoli, BORGOSATOLLO, BS, Lombardia, Italia",POINT
BRESCIA: Via Cremona : Quartiere Leonessa : COD.ASL 17029/5R ,BRESCIA,Via Cremona,"Via Cremona, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Sant'Orsola : COD.ASL 17029/3R ,BRESCIA,Via Sant'Orsola,"Via Sant'Orsola, BRESCIA, BS, Lombardia, Italia",POINT
SAN ZENO NAVIGLIO: Piazza Marconi : COD.ASL 17173/1R,SAN ZENO NAVIGLIO,Piazza Marconi,"Piazza Marconi, SAN ZENO NAVIGLIO, BS, Lombardia, Italia",POINT
SAN ZENO NAVIGLIO: Via Mascagni,SAN ZENO NAVIGLIO,Via Mascagni,"Via Mascagni, SAN ZENO NAVIGLIO, BS, Lombardia, Italia",POINT
Brescia : Via della Palla,Brescia,Via della Palla,"Via della Palla, Brescia, BS, Lombardia, Italia",POINT
SAN ZENO NAVIGLIO: Piazzale Marcolini : COD.ASL 17173/3R,SAN ZENO NAVIGLIO,Piazzale Marcolini,"Piazzale Marcolini, SAN ZENO NAVIGLIO, BS, Lombardia, Italia",POINT
SAN ZENO NAVIGLIO: Via Bianchetti : COD.ASL 17173/2R,SAN ZENO NAVIGLIO,Via Bianchetti,"Via Bianchetti, SAN ZENO NAVIGLIO, BS, Lombardia, Italia",POINT
Brescia : Via Corsica,Brescia,Via Corsica,"Via Corsica, Brescia, BS, Lombardia, Italia",POINT
MONTIRONE: Piazza Risorgimento : COD.ASL 17114/1R ,MONTIRONE,Piazza Risorgimento,"Piazza Risorgimento, MONTIRONE, BS, Lombardia, Italia",POINT
BRESCIA: Via Micheli : Lamarmora : COD.ASL 17029/19R ,BRESCIA,Via Micheli,"Via Micheli, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Rione : Folzano : COD.ASL 17029/18R ,BRESCIA,Via Rione,"Via Rione, BRESCIA, BS, Lombardia, Italia",POINT
SAN ZENO NAVIGLIO: Via Pace,SAN ZENO NAVIGLIO,Via Pace,"Via Pace, SAN ZENO NAVIGLIO, BS, Lombardia, Italia",POINT
Brescia : Via Verziano,Brescia,Via Verziano,"Via Verziano, Brescia, BS, Lombardia, Italia",POINT
Capriano del Colle : Fenili Belasi,Capriano del Colle,Fenili Belasi,"Fenili Belasi, Capriano del Colle, BS, Lombardia, Italia",POINT
BRESCIA: Via Chiesanuova : COD.ASL 17029/23R ,BRESCIA,Via Chiesanuova,"Via Chiesanuova, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Grandi : COD.ASL 17029/22R ,BRESCIA,Via Grandi,"Via Grandi, BRESCIA, BS, Lombardia, Italia",POINT
CAPRIANO DEL COLLE: Via Tese : COD.ASL 17037/2R ,CAPRIANO DEL COLLE,Via Tese,"Via Tese, CAPRIANO DEL COLLE, BS, Lombardia, Italia",POINT
San Zeno Naviglio : Piazza G. Marconi,San Zeno Naviglio,Piazza G. Marconi,"Piazza G. Marconi, San Zeno Naviglio, BS, Lombardia, Italia",POINT
BAGNOLO MELLA: Via I Maggio : COD.ASL 17009/5R ,BAGNOLO MELLA,Via I Maggio,"Via I Maggio, BAGNOLO MELLA, BS, Lombardia, Italia",POINT
BAGNOLO MELLA: Viale Europa : COD.ASL 17009/3R ,BAGNOLO MELLA,Viale Europa,"Viale Europa, BAGNOLO MELLA, BS, Lombardia, Italia",POINT
Bagnolo del Mella : Via Gobetti,Bagnolo del Mella,Via Gobetti,"Via Gobetti, Bagnolo del Mella, BS, Lombardia, Italia",POINT
BRESCIA: Via Cremona : Quartiere Leonessa : COD.ASL 17029/5R ,BRESCIA,Via Cremona,"Via Cremona, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via Verziano : COD.ASL 17029/21R ,BRESCIA,Via Verziano,"Via Verziano, BRESCIA, BS, Lombardia, Italia",POINT
BRESCIA: Via XI : Villaggio Sereno : COD.ASL 17029/20R ,BRESCIA,Via XI,"Via XI, BRESCIA, BS, Lombardia, Italia",POINT
SAN ZENO NAVIGLIO: Piazza Marconi : COD.ASL 17173/1R,SAN ZENO NAVIGLIO,Piazza Marconi,"Piazza Marconi, SAN ZENO NAVIGLIO, BS, Lombardia, Italia",POINT
SAN ZENO NAVIGLIO: Via Mascagni,SAN ZENO NAVIGLIO,Via Mascagni,"Via Mascagni, SAN ZENO NAVIGLIO, BS, Lombardia, Italia",POINT
Brescia : Via della Palla,Brescia,Via della Palla,"Via della Palla, Brescia, BS, Lombardia, Italia",POINT
ISORELLA: Via De Gasperi angolo via Berardo Maggi : COD.ASL 17086/2R ,ISORELLA,Via De Gasperi angolo via Berardo Maggi,"Via De Gasperi angolo via Berardo Maggi, ISORELLA, BS, Lombardia, Italia",POINT
VISANO: Piazza Castello : COD.ASL 17203/7R,VISANO,Piazza Castello,"Piazza Castello, VISANO, BS, Lombardia, Italia",POINT
ISORELLA: Piazza Castello angolo Via Marconi : COD.ASL 17086/1R ,ISORELLA,Piazza Castello angolo Via Marconi,"Piazza Castello angolo Via Marconi, ISORELLA, BS, Lombardia, Italia",POINT
ISORELLA: Piazza Roma,ISORELLA,Piazza Roma,"Piazza Roma, ISORELLA, BS, Lombardia, Italia",POINT
Visano : Via G. Matteotti,Visano,Via G. Matteotti,"Via G. Matteotti, Visano, BS, Lombardia, Italia",POINT
VISANO: Via Padre Piamarta : COD.ASL 17203/8R,VISANO,Via Padre Piamarta,"Via Padre Piamarta, VISANO, BS, Lombardia, Italia",POINT
Isorella : Via de Gasperi,Isorella,Via de Gasperi,"Via de Gasperi, Isorella, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via Paolo VI : COD.ASL 17163/3R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
Ospitaletto : Via Sant'Antonio,Ospitaletto,Via Sant'Antonio,"Via Sant'Antonio, Ospitaletto, BS, Lombardia, Italia",POINT
BRESCIA: Via Vallecamonica : Mandolossa : COD.ASL 17029/10R ,BRESCIA,Via Vallecamonica,"Via Vallecamonica, BRESCIA, BS, Lombardia, Italia",POINT
OSPITALETTO: Via IV Novembre : COD.ASL 17127/1R ,OSPITALETTO,Via IV Novembre,"Via IV Novembre, OSPITALETTO, BS, Lombardia, Italia",POINT
Gussago : Via Sale,Gussago,Via Sale,"Via Sale, Gussago, BS, Lombardia, Italia",POINT
Rodengo Saiano : Viale Europa,Rodengo Saiano,Viale Europa,"Viale Europa, Rodengo Saiano, BS, Lombardia, Italia",POINT
BRESCIA: Via Violino di Sotto : COD.ASL 17029/11R ,BRESCIA,Via Violino di Sotto,"Via Violino di Sotto, BRESCIA, BS, Lombardia, Italia",POINT
GUSSAGO: Via Kennedy : Casaglio,GUSSAGO,Via Kennedy,"Via Kennedy, GUSSAGO, BS, Lombardia, Italia",POINT
GUSSAGO: Piazza San Lorenzo : COD.ASL 17081/2R ,GUSSAGO,Piazza San Lorenzo,"Piazza San Lorenzo, GUSSAGO, BS, Lombardia, Italia",POINT
GUSSAGO: Via San Zenone : Ronco : COD.ASL 17081/5R ,GUSSAGO,Via San Zenone,"Via San Zenone, GUSSAGO, BS, Lombardia, Italia",POINT
Brescia : Via Prima Villaggio Badia,Brescia,Via Prima Villaggio Badia,"Via Prima Villaggio Badia, Brescia, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via Sant'Antonio : COD.ASL 17163/2R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
GUSSAGO: Via Seriola : Navezze : COD.ASL 17081/4R ,GUSSAGO,Via Seriola,"Via Seriola, GUSSAGO, BS, Lombardia, Italia",POINT
GUSSAGO: Via Trieste : Sale : COD.ASL 17081/1R ,GUSSAGO,Via Trieste,"Via Trieste, GUSSAGO, BS, Lombardia, Italia",POINT
OSPITALETTO: Via Martiri della Libertà : COD.ASL 17127/3R ,OSPITALETTO,Via Martiri della Libertà,"Via Martiri della Libertà, OSPITALETTO, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via San Francesco : COD.ASL 17163/1R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
BASSANO BRESCIANO: Via Lusignolo : COD.ASL 17013/2R,BASSANO BRESCIANO,Via Lusignolo,"Via Lusignolo, BASSANO BRESCIANO, BS, Lombardia, Italia",POINT
VEROLANUOVA: Breda Libera : COD.ASL 17195/4R ,VEROLANUOVA,Breda Libera,"Breda Libera, VEROLANUOVA, BS, Lombardia, Italia",POINT
PONTEVICO: Bettegno : COD.ASL 17149/5R ,PONTEVICO,Bettegno,"Bettegno, PONTEVICO, BS, Lombardia, Italia",POINT
PONTEVICO: Via Campazzo : COD.ASL 17149/4R ,PONTEVICO,Via Campazzo,"Via Campazzo, PONTEVICO, BS, Lombardia, Italia",POINT
OFFLAGA: Piazza Vittoria : Cignano : COD.ASL 17122/2R,OFFLAGA,Piazza Vittoria,"Piazza Vittoria, OFFLAGA, BS, Lombardia, Italia",POINT
VEROLANUOVA: Via Puccini : COD.ASL 17195/3R ,VEROLANUOVA,Via Puccini,"Via Puccini, VEROLANUOVA, BS, Lombardia, Italia",POINT
VEROLANUOVA: Via San Martino : Cadignano : COD.ASL 17195/5R,VEROLANUOVA,Via San Martino,"Via San Martino, VEROLANUOVA, BS, Lombardia, Italia",POINT
Verolanuova : Via Verdi,Verolanuova,Via Verdi,"Via Verdi, Verolanuova, BS, Lombardia, Italia",POINT
PONTEVICO: Torchiera : COD.ASL 17149/7R ,PONTEVICO,Torchiera,"Torchiera, PONTEVICO, BS, Lombardia, Italia",POINT
VEROLANUOVA: Via Volta : COD.ASL 17195/1R ,VEROLANUOVA,Via Volta,"Via Volta, VEROLANUOVA, BS, Lombardia, Italia",POINT
PROVAGLIO VAL SABBIA: Via Roma : Arveaco : COD.ASL 17157/4R,PROVAGLIO VAL SABBIA,Via Roma,"Via Roma, PROVAGLIO VAL SABBIA, BS, Lombardia, Italia",POINT
ROE VOLCIANO: Via Bonfadio : COD.ASL 17164/3R,ROE VOLCIANO,Via Bonfadio,"Via Bonfadio, ROE VOLCIANO, BS, Lombardia, Italia",POINT
ROE VOLCIANO: Via Missane : COD.ASL 17164/4R,ROE VOLCIANO,Via Missane,"Via Missane, ROE VOLCIANO, BS, Lombardia, Italia",POINT
VOBARNO: Via Pavoni : Collio : COD.ASL 17204/2R,VOBARNO,Via Pavoni,"Via Pavoni, VOBARNO, BS, Lombardia, Italia",POINT
VILLANUOVA SUL CLISI: Via Berniga : COD.ASL 17201/4R,VILLANUOVA SUL CLISI,Via Berniga,"Via Berniga, VILLANUOVA SUL CLISI, BS, Lombardia, Italia",POINT
VILLANUOVA SUL CLISI: Via Ponte Pier : COD.ASL 17201/1R,VILLANUOVA SUL CLISI,Via Ponte Pier,"Via Ponte Pier, VILLANUOVA SUL CLISI, BS, Lombardia, Italia",POINT
Villanuova sul Clisi : Piazza Roma,Villanuova sul Clisi,Piazza Roma,"Piazza Roma, Villanuova sul Clisi, BS, Lombardia, Italia",POINT
SABBIO CHIESE: Via San Lorenzo : Clibbio : COD.ASL 17168/6R,SABBIO CHIESE,Via San Lorenzo,"Via San Lorenzo, SABBIO CHIESE, BS, Lombardia, Italia",POINT
VOBARNO: Via Ceresigno : Degagna : COD.ASL 17204/8R,VOBARNO,Via Ceresigno,"Via Ceresigno, VOBARNO, BS, Lombardia, Italia",POINT
VOBARNO: Via Comunale : Carpeneda : COD.ASL 17204/5R,VOBARNO,Via Comunale,"Via Comunale, VOBARNO, BS, Lombardia, Italia",POINT
ROE VOLCIANO: Via Odorici : COD.ASL 17164/2R,ROE VOLCIANO,Via Odorici,"Via Odorici, ROE VOLCIANO, BS, Lombardia, Italia",POINT
VOBARNO: Piazza del  Volontariato : Pompegnino : COD.ASL 17204/12R,VOBARNO,Piazza del  Volontariato,"Piazza del  Volontariato, VOBARNO, BS, Lombardia, Italia",POINT
VOBARNO: Via Poli : COD.ASL 17204/11R,VOBARNO,Via Poli,"Via Poli, VOBARNO, BS, Lombardia, Italia",POINT
GAVARDO: Piazza Corioni : Soprazocco : COD.ASL 17077/7R,GAVARDO,Piazza Corioni,"Piazza Corioni, GAVARDO, BS, Lombardia, Italia",POINT
VILLANUOVA SUL CLISI: Via Mezzane : Poggio al sole : COD.ASL 17201/3R,VILLANUOVA SUL CLISI,Via Mezzane,"Via Mezzane, VILLANUOVA SUL CLISI, BS, Lombardia, Italia",POINT
VILLANUOVA SUL CLISI: Via Ponte Chiese : Valverde : COD.ASL 17201/2R,VILLANUOVA SUL CLISI,Via Ponte Chiese,"Via Ponte Chiese, VILLANUOVA SUL CLISI, BS, Lombardia, Italia",POINT
VOBARNO: Piazza Chiesa : Teglie : COD.ASL 17204/4R,VOBARNO,Piazza Chiesa,"Piazza Chiesa, VOBARNO, BS, Lombardia, Italia",POINT
VOBARNO: Via Nalmase : Rango : COD.ASL 17204/9R,VOBARNO,Via Nalmase,"Via Nalmase, VOBARNO, BS, Lombardia, Italia",POINT
VILLANUOVA SUL CLISI: Via XXIV Maggio : COD.ASL 17201/6R,VILLANUOVA SUL CLISI,Via XXIV Maggio,"Via XXIV Maggio, VILLANUOVA SUL CLISI, BS, Lombardia, Italia",POINT
ROE VOLCIANO: Via Ascensione : COD.ASL 17164/1R,ROE VOLCIANO,Via Ascensione,"Via Ascensione, ROE VOLCIANO, BS, Lombardia, Italia",POINT
VOBARNO: Via Carvanno : Carvanno : COD.ASL 17204/7R,VOBARNO,Via Carvanno,"Via Carvanno, VOBARNO, BS, Lombardia, Italia",POINT
Vobarno : Via Castegnino,Vobarno,Via Castegnino,"Via Castegnino, Vobarno, BS, Lombardia, Italia",POINT
NAVE: Via Monteclana alta : COD.ASL 17117/6R,NAVE,Via Monteclana alta,"Via Monteclana alta, NAVE, BS, Lombardia, Italia",POINT
BRESCIA: Via Veneto  angolo Via Salvo d'Acquisto : COD.ASL 17029/14R ,BRESCIA,Via Veneto  angolo Via Salvo d'Acquisto,"Via Veneto  angolo Via Salvo d'Acquisto, BRESCIA, BS, Lombardia, Italia",POINT
CONCESIO: Via Segheria : San Vigilio : COD.ASL 17061/2R,CONCESIO,Via Segheria,"Via Segheria, CONCESIO, BS, Lombardia, Italia",POINT
Brescia : Via Franzinetti,Brescia,Via Franzinetti,"Via Franzinetti, Brescia, BS, Lombardia, Italia",POINT
NAVE: Piazza Martiri della Libertà : COD.ASL 17117/2R ,NAVE,Piazza Martiri della Libertà,"Piazza Martiri della Libertà, NAVE, BS, Lombardia, Italia",POINT
BRESCIA: Via Capretti angolo Via Triumplina : COD.ASL 17029/27R ,BRESCIA,Via Capretti angolo Via Triumplina,"Via Capretti angolo Via Triumplina, BRESCIA, BS, Lombardia, Italia",POINT
CONCESIO: Via Mazzini : San Vigilio : COD.ASL 17061/1R ,CONCESIO,Via Mazzini,"Via Mazzini, CONCESIO, BS, Lombardia, Italia",POINT
NAVE: Via San Marco : Cortine : COD.ASL 17117/3R ,NAVE,Via San Marco,"Via San Marco, NAVE, BS, Lombardia, Italia",POINT
BRESCIA: Via Dal Monte : COD.ASL 17029/6R ,BRESCIA,Via Dal Monte,"Via Dal Monte, BRESCIA, BS, Lombardia, Italia",POINT
COLLEBEATO: Via San Francesco : COD.ASL 17057/1R ,COLLEBEATO,Via San Francesco,"Via San Francesco, COLLEBEATO, BS, Lombardia, Italia",POINT
Bovezzo : Piazza 28 Maggio ,Bovezzo,Piazza 28 Maggio,"Piazza 28 Maggio, Bovezzo, BS, Lombardia, Italia",POINT
Nave : Via Campanile,Nave,Via Campanile,"Via Campanile, Nave, BS, Lombardia, Italia",POINT
NAVE: Via San Francesco : Muratello : COD.ASL 17117/1R ,NAVE,Via San Francesco,"Via San Francesco, NAVE, BS, Lombardia, Italia",POINT
BRESCIA: Via Lama : Mompiano : COD.ASL 17029/26R ,BRESCIA,Via Lama,"Via Lama, BRESCIA, BS, Lombardia, Italia",POINT
COLLEBEATO: Campiani : COD.ASL 17057/2R ,COLLEBEATO,Campiani,"Campiani, COLLEBEATO, BS, Lombardia, Italia",POINT
CONCESIO: Via Ca' de Bosio : COD.ASL 17061/3R ,CONCESIO,Via Ca' de Bosio,"Via Ca' de Bosio, CONCESIO, BS, Lombardia, Italia",POINT
Brescia : Via Casazza,Brescia,Via Casazza,"Via Casazza, Brescia, BS, Lombardia, Italia",POINT
Collebeato : Via Saletto,Collebeato,Via Saletto,"Via Saletto, Collebeato, BS, Lombardia, Italia",POINT
BOVEZZO: Via Canossi : COD.ASL 17025/2R ,BOVEZZO,Via Canossi,"Via Canossi, BOVEZZO, BS, Lombardia, Italia",POINT
Brescia : Via Niccolo Tommaseo,Brescia,Via Niccolo Tommaseo,"Via Niccolo Tommaseo, Brescia, BS, Lombardia, Italia",POINT
NAVE: Via Belcolle : Sacca : COD.ASL 17117/7R,NAVE,Via Belcolle,"Via Belcolle, NAVE, BS, Lombardia, Italia",POINT
NAVE: Via Monteclana bassa : COD.ASL 17117/5R ,NAVE,Via Monteclana bassa,"Via Monteclana bassa, NAVE, BS, Lombardia, Italia",POINT
BRESCIA: Via Gabbiane : San Bartolomeo : COD.ASL 17029/1R ,BRESCIA,Via Gabbiane,"Via Gabbiane, BRESCIA, BS, Lombardia, Italia",POINT
CONCESIO: Via Due Muri : Roncaglie : COD.ASL 17061/5R,CONCESIO,Via Due Muri,"Via Due Muri, CONCESIO, BS, Lombardia, Italia",POINT
CONCESIO: Via Gilli : San Vigilio : COD.ASL 17061/4R,CONCESIO,Via Gilli,"Via Gilli, CONCESIO, BS, Lombardia, Italia",POINT
BOVEZZO: Via Vittorio Veneto : COD.ASL 17025/1R ,BOVEZZO,Via Vittorio Veneto,"Via Vittorio Veneto, BOVEZZO, BS, Lombardia, Italia",POINT
BRESCIA: Via Piazza : Urago Mella : COD.ASL 17029/8R ,BRESCIA,Via Piazza,"Via Piazza, BRESCIA, BS, Lombardia, Italia",POINT
Concesio :  Via Pascoli,Concesio,Via Pascoli,"Via Pascoli, Concesio, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via Sant'Antonio : COD.ASL 17163/2R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
Ospitaletto : Via Sant'Antonio,Ospitaletto,Via Sant'Antonio,"Via Sant'Antonio, Ospitaletto, BS, Lombardia, Italia",POINT
OSPITALETTO: Via IV Novembre : COD.ASL 17127/1R ,OSPITALETTO,Via IV Novembre,"Via IV Novembre, OSPITALETTO, BS, Lombardia, Italia",POINT
Rodengo Saiano : Viale Europa,Rodengo Saiano,Viale Europa,"Viale Europa, Rodengo Saiano, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via Sant'Antonio : COD.ASL 17163/2R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
OSPITALETTO: Via Leopardi : COD.ASL 17127/2R ,OSPITALETTO,Via Leopardi,"Via Leopardi, OSPITALETTO, BS, Lombardia, Italia",POINT
RODENGO:SAIANO: Via San Francesco : COD.ASL 17163/1R ,RODENGO,SAIANO,"SAIANO, RODENGO, BS, Lombardia, Italia",POINT
PAITONE: Via Chiosetto : COD.ASL 17132/1R,PAITONE,Via Chiosetto,"Via Chiosetto, PAITONE, BS, Lombardia, Italia",POINT
NUVOLERA: Via Livelli : COD.ASL 17120/1R,NUVOLERA,Via Livelli,"Via Livelli, NUVOLERA, BS, Lombardia, Italia",POINT
GAVARDO: Piazza Moro : COD.ASL 17077/1R,GAVARDO,Piazza Moro,"Piazza Moro, GAVARDO, BS, Lombardia, Italia",POINT
GAVARDO: Piazza Pesa : Limone : COD.ASL 17077/6R,GAVARDO,Piazza Pesa,"Piazza Pesa, GAVARDO, BS, Lombardia, Italia",POINT
SERLE: Piazza Boifava : COD.ASL 17178/1R ,SERLE,Piazza Boifava,"Piazza Boifava, SERLE, BS, Lombardia, Italia",POINT
SERLE: Via XXV Aprile : Villa : COD.ASL 17178/4R ,SERLE,Via XXV Aprile,"Via XXV Aprile, SERLE, BS, Lombardia, Italia",POINT
BEDIZZOLE: Via Valsabbia,BEDIZZOLE,Via Valsabbia,"Via Valsabbia, BEDIZZOLE, BS, Lombardia, Italia",POINT
GAVARDO: Via S. Pellegrino : COD.ASL 17077/2R,GAVARDO,Via S. Pellegrino,"Via S. Pellegrino, GAVARDO, BS, Lombardia, Italia",POINT
SERLE: Via Leopardi : COD.ASL 17178/5R ,SERLE,Via Leopardi,"Via Leopardi, SERLE, BS, Lombardia, Italia",POINT
Nuvolera : Via Camprelle,Nuvolera,Via Camprelle,"Via Camprelle, Nuvolera, BS, Lombardia, Italia",POINT
NUVOLERA: Via Valle : COD.ASL 17120/4R,NUVOLERA,Via Valle,"Via Valle, NUVOLERA, BS, Lombardia, Italia",POINT
BEDIZZOLE: Via Signorina angolo Via Barazzola : COD.ASL 17014/1R ,BEDIZZOLE,Via Signorina angolo Via Barazzola,"Via Signorina angolo Via Barazzola, BEDIZZOLE, BS, Lombardia, Italia",POINT
MAZZANO: Via Garibaldi : Molinetto : COD.ASL 17107/3R,MAZZANO,Via Garibaldi,"Via Garibaldi, MAZZANO, BS, Lombardia, Italia",POINT
NUVOLERA: Via Roma,NUVOLERA,Via Roma,"Via Roma, NUVOLERA, BS, Lombardia, Italia",POINT
BEDIZZOLE: Via Macesina : COD.ASL 17014/3R ,BEDIZZOLE,Via Macesina,"Via Macesina, BEDIZZOLE, BS, Lombardia, Italia",POINT
GAVARDO: Via Marzatica : COD.ASL 17077/5R,GAVARDO,Via Marzatica,"Via Marzatica, GAVARDO, BS, Lombardia, Italia",POINT
Bedizzole : Piazzale Europa,Bedizzole,Piazzale Europa,"Piazzale Europa, Bedizzole, BS, Lombardia, Italia",POINT
Paitone : Via F. Braga,Paitone,Via F. Braga,"Via F. Braga, Paitone, BS, Lombardia, Italia",POINT
NUVOLERA: Via Soldo : COD.ASL 17120/2R,NUVOLERA,Via Soldo,"Via Soldo, NUVOLERA, BS, Lombardia, Italia",POINT
BEDIZZOLE: Via Libertà angolo Via IV Novembre : COD.ASL 17014/2R ,BEDIZZOLE,Via Libertà angolo Via IV Novembre,"Via Libertà angolo Via IV Novembre, BEDIZZOLE, BS, Lombardia, Italia",POINT
BEDIZZOLE: Via Pieve : Pontenove : COD.ASL 17014/5R,BEDIZZOLE,Via Pieve,"Via Pieve, BEDIZZOLE, BS, Lombardia, Italia",POINT
PAITONE: Via Pospesio : COD.ASL 17132/2R,PAITONE,Via Pospesio,"Via Pospesio, PAITONE, BS, Lombardia, Italia",POINT
PAITONE: Via Sarzena : COD.ASL 17132/3R,PAITONE,Via Sarzena,"Via Sarzena, PAITONE, BS, Lombardia, Italia",POINT
ROCCAFRANCA: Via Donizetti : COD.ASL 17162/1R ,ROCCAFRANCA,Via Donizetti,"Via Donizetti, ROCCAFRANCA, BS, Lombardia, Italia",POINT
ROCCAFRANCA: Via Paolo VI Angolo Via Francesca,ROCCAFRANCA,Via Paolo VI Angolo Via Francesca,"Via Paolo VI Angolo Via Francesca, ROCCAFRANCA, BS, Lombardia, Italia",POINT
Ospitaletto : Via Sant'Antonio,Ospitaletto,Via Sant'Antonio,"Via Sant'Antonio, Ospitaletto, BS, Lombardia, Italia",POINT
BRESCIA: Via Vallecamonica : Mandolossa : COD.ASL 17029/10R ,BRESCIA,Via Vallecamonica,"Via Vallecamonica, BRESCIA, BS, Lombardia, Italia",POINT
CAPRIANO DEL COLLE: Via Trento : Fenili Belasi : COD.ASL 17037/3R ,CAPRIANO DEL COLLE,Via Trento,"Via Trento, CAPRIANO DEL COLLE, BS, Lombardia, Italia",POINT
OSPITALETTO: Via IV Novembre : COD.ASL 17127/1R ,OSPITALETTO,Via IV Novembre,"Via IV Novembre, OSPITALETTO, BS, Lombardia, Italia",POINT
BRESCIA: Via Violino di Sotto : COD.ASL 17029/11R ,BRESCIA,Via Violino di Sotto,"Via Violino di Sotto, BRESCIA, BS, Lombardia, Italia",POINT
Brescia : Via Prima Villaggio Badia,Brescia,Via Prima Villaggio Badia,"Via Prima Villaggio Badia, Brescia, BS, Lombardia, Italia",POINT
Capriano del Colle : Fenili Belasi,Capriano del Colle,Fenili Belasi,"Fenili Belasi, Capriano del Colle, BS, Lombardia, Italia",POINT
BRESCIA: Via Grandi : COD.ASL 17029/22R ,BRESCIA,Via Grandi,"Via Grandi, BRESCIA, BS, Lombardia, Italia",POINT
OSPITALETTO: Via Martiri della Libertà : COD.ASL 17127/3R ,OSPITALETTO,Via Martiri della Libertà,"Via Martiri della Libertà, OSPITALETTO, BS, Lombardia, Italia",POINT
ROE VOLCIANO: Via Bonfadio : COD.ASL 17164/3R,ROE VOLCIANO,Via Bonfadio,"Via Bonfadio, ROE VOLCIANO, BS, Lombardia, Italia",POINT
GAVARDO: Piazza Moro : COD.ASL 17077/1R,GAVARDO,Piazza Moro,"Piazza Moro, GAVARDO, BS, Lombardia, Italia",POINT
GAVARDO: Piazza Pesa : Limone : COD.ASL 17077/6R,GAVARDO,Piazza Pesa,"Piazza Pesa, GAVARDO, BS, Lombardia, Italia",POINT
SABBIO CHIESE: Via San Giovanni : Pavone : COD.ASL 17168/5R,SABBIO CHIESE,Via San Giovanni,"Via San Giovanni, SABBIO CHIESE, BS, Lombardia, Italia",POINT
GAVARDO: Cimitero : Sopraponte : COD.ASL 17077/3R,GAVARDO,Cimitero,"Cimitero, GAVARDO, BS, Lombardia, Italia",POINT
GAVARDO: Via Sant'Antonio : Quarena : COD.ASL 17077/4R,GAVARDO,Via Sant'Antonio,"Via Sant'Antonio, GAVARDO, BS, Lombardia, Italia",POINT
ROE VOLCIANO: Via Missane : COD.ASL 17164/4R,ROE VOLCIANO,Via Missane,"Via Missane, ROE VOLCIANO, BS, Lombardia, Italia",POINT
