location,alias_city,alias_address,georeferencingString,type
Lumezzane: Piazza Cadorna : Renzo : Codice Asl: 17096/4R,Lumezzane,Piazza Cadorna,"Piazza Cadorna, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Piazza 24 Maggio : Pieve : Codice Asl: 17096/6R,Lumezzane,Piazza 24 Maggio,"Piazza 24 Maggio, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Via Veneto : S. Sebastiano : Codice Asl: 17096/2R,Lumezzane,Via Veneto,"Via Veneto, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Piazza Diaz : Piatucco : Codice Asl: 17096/5R,Lumezzane,Piazza Diaz,"Piazza Diaz, Lumezzane, BS, Lombardia, Italia",POINT
Lumezzane: Via M. L. King : Codice Asl: 17096/9R,Lumezzane,Via M. L. King,"Via M. L. King, Lumezzane, BS, Lombardia, Italia",POINT
Lodrino : Via Roma,Lodrino,Via Roma,"Via Roma, Lodrino, BS, Lombardia, Italia",POINT
Lodrino: Via San Rocco : Invico : Codice Asl: 17090/3R,Lodrino,Via San Rocco,"Via San Rocco, Lodrino, BS, Lombardia, Italia",POINT
Marcheno: Via Chiesa : Brozzo : Codice Asl: 17104/1R,Marcheno,Via Chiesa,"Via Chiesa, Marcheno, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Pavoni : Cimmo : Codice Asl: 17183/10R,Tavernole Sul Mella,Via Pavoni,"Via Pavoni, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Pezzaze: Via Aiale : Codice Asl: 17141/3R,Pezzaze,Via Aiale,"Via Aiale, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole sul Mella : P.zza del Mercato,Tavernole sul Mella,P.zza del Mercato,"P.zza del Mercato, Tavernole sul Mella, BS, Lombardia, Italia",POINT
Pezzaze: Via Taverna : Lavone : Codice Asl: 17141/2R,Pezzaze,Via Taverna,"Via Taverna, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Grumello C/O Santella : Codice Asl: 17183/9R,Tavernole Sul Mella,Via Grumello C/O Santella,"Via Grumello C/O Santella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Amadini : Codice Asl: 17183/1R,Tavernole Sul Mella,Via Amadini,"Via Amadini, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Mella : Codice Asl: 17183/2R,Tavernole Sul Mella,Via Mella,"Via Mella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Lodrino: Piazza Marconi : Codice Asl: 17090/2R,Lodrino,Piazza Marconi,"Piazza Marconi, Lodrino, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Forcella : Cimmo : Codice Asl: 17183/3R,Tavernole Sul Mella,Via Forcella,"Via Forcella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Lodrino: Via Crocette : Codice Asl: 17090/1R,Lodrino,Via Crocette,"Via Crocette, Lodrino, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Missone : Cimmo : Codice Asl: 17183/5R,Tavernole Sul Mella,Via Missone,"Via Missone, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Grumello C/O Ponte : Codice Asl: 17183/8R,Tavernole Sul Mella,Via Grumello C/O Ponte,"Via Grumello C/O Ponte, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Pezzaze : Via Miniera,Pezzaze,Via Miniera,"Via Miniera, Pezzaze, BS, Lombardia, Italia",POINT
Bovegno: Savenone : Codice Asl: 17024/9R,Bovegno,Savenone,"Savenone, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Via Chiesa : Magno : Codice Asl: 17024/4R,Bovegno,Via Chiesa,"Via Chiesa, Bovegno, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Pavoni : Cimmo : Codice Asl: 17183/10R,Tavernole Sul Mella,Via Pavoni,"Via Pavoni, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Pezzaze: Via Aiale : Codice Asl: 17141/3R,Pezzaze,Via Aiale,"Via Aiale, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole sul Mella : P.zza del Mercato,Tavernole sul Mella,P.zza del Mercato,"P.zza del Mercato, Tavernole sul Mella, BS, Lombardia, Italia",POINT
Pezzaze: Via Taverna : Lavone : Codice Asl: 17141/2R,Pezzaze,Via Taverna,"Via Taverna, Pezzaze, BS, Lombardia, Italia",POINT
Pezzaze: Piazza Stravegnino : Codice Asl: 17141/4R,Pezzaze,Piazza Stravegnino,"Piazza Stravegnino, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Grumello C/O Santella : Codice Asl: 17183/9R,Tavernole Sul Mella,Via Grumello C/O Santella,"Via Grumello C/O Santella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Pezzaze: Piazza Mondaro : Codice Asl: 17141/1R,Pezzaze,Piazza Mondaro,"Piazza Mondaro, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Amadini : Codice Asl: 17183/1R,Tavernole Sul Mella,Via Amadini,"Via Amadini, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Mella : Codice Asl: 17183/2R,Tavernole Sul Mella,Via Mella,"Via Mella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Bovegno: Via Ca' Delle Bachere : Forno : Codice Asl: 17024/11R,Bovegno,Via Ca' Delle Bachere,"Via Ca' Delle Bachere, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Querceto : Codice Asl: 17024/12R,Bovegno,Querceto,"Querceto, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Graticelle : Codice Asl: 17024/8R,Bovegno,Graticelle,"Graticelle, Bovegno, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Forcella : Cimmo : Codice Asl: 17183/3R,Tavernole Sul Mella,Via Forcella,"Via Forcella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via S. Carlo : Pezzoro : Codice Asl: 17183/6R,Tavernole Sul Mella,Via S. Carlo,"Via S. Carlo, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Missone : Cimmo : Codice Asl: 17183/5R,Tavernole Sul Mella,Via Missone,"Via Missone, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Piazza Chiesa : Pezzoro : Codice Asl: 17183/7R,Tavernole Sul Mella,Piazza Chiesa,"Piazza Chiesa, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Bovegno: Zigole : Codice Asl: 17024/10R,Bovegno,Zigole,"Zigole, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Piano Alto : Codice Asl: 17024/6R,Bovegno,Piano Alto,"Piano Alto, Bovegno, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Grumello C/O Ponte : Codice Asl: 17183/8R,Tavernole Sul Mella,Via Grumello C/O Ponte,"Via Grumello C/O Ponte, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Lumezzane: Via Madonnina : Premiano : Codice Asl: 17096/3R,Lumezzane,Via Madonnina,"Via Madonnina, Lumezzane, BS, Lombardia, Italia",POINT
Lodrino : Via Roma,Lodrino,Via Roma,"Via Roma, Lodrino, BS, Lombardia, Italia",POINT
Pezzaze : Via Miniera,Pezzaze,Via Miniera,"Via Miniera, Pezzaze, BS, Lombardia, Italia",POINT
Bovegno: Savenone : Codice Asl: 17024/9R,Bovegno,Savenone,"Savenone, Bovegno, BS, Lombardia, Italia",POINT
Lodrino: Via San Rocco : Invico : Codice Asl: 17090/3R,Lodrino,Via San Rocco,"Via San Rocco, Lodrino, BS, Lombardia, Italia",POINT
Bovegno: Via Chiesa : Magno : Codice Asl: 17024/4R,Bovegno,Via Chiesa,"Via Chiesa, Bovegno, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via Padile : Magno : Codice Asl: 17075/3R,Gardone Valtrompia,Via Padile,"Via Padile, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Marcheno: Via Chiesa : Brozzo : Codice Asl: 17104/1R,Marcheno,Via Chiesa,"Via Chiesa, Marcheno, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Pavoni : Cimmo : Codice Asl: 17183/10R,Tavernole Sul Mella,Via Pavoni,"Via Pavoni, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via Verdi : Codice Asl: 17075/5R,Gardone Valtrompia,Via Verdi,"Via Verdi, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Pezzaze: Via Aiale : Codice Asl: 17141/3R,Pezzaze,Via Aiale,"Via Aiale, Pezzaze, BS, Lombardia, Italia",POINT
Marcheno : Via Parte,Marcheno,Via Parte,"Via Parte, Marcheno, BS, Lombardia, Italia",POINT
Tavernole sul Mella : P.zza del Mercato,Tavernole sul Mella,P.zza del Mercato,"P.zza del Mercato, Tavernole sul Mella, BS, Lombardia, Italia",POINT
Marcheno: Via Parte : Codice Asl: 17104/2R,Marcheno,Via Parte,"Via Parte, Marcheno, BS, Lombardia, Italia",POINT
Marcheno: Via Pirle : Cesovo : Codice Asl: 17104/3R,Marcheno,Via Pirle,"Via Pirle, Marcheno, BS, Lombardia, Italia",POINT
Marcheno: Via Gitti : Codice Asl: 17104/4R,Marcheno,Via Gitti,"Via Gitti, Marcheno, BS, Lombardia, Italia",POINT
Pezzaze: Via Taverna : Lavone : Codice Asl: 17141/2R,Pezzaze,Via Taverna,"Via Taverna, Pezzaze, BS, Lombardia, Italia",POINT
Pezzaze: Piazza Stravegnino : Codice Asl: 17141/4R,Pezzaze,Piazza Stravegnino,"Piazza Stravegnino, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Grumello C/O Santella : Codice Asl: 17183/9R,Tavernole Sul Mella,Via Grumello C/O Santella,"Via Grumello C/O Santella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Pezzaze: Piazza Mondaro : Codice Asl: 17141/1R,Pezzaze,Piazza Mondaro,"Piazza Mondaro, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Amadini : Codice Asl: 17183/1R,Tavernole Sul Mella,Via Amadini,"Via Amadini, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Mella : Codice Asl: 17183/2R,Tavernole Sul Mella,Via Mella,"Via Mella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Bovegno: Via Ca' Delle Bachere : Forno : Codice Asl: 17024/11R,Bovegno,Via Ca' Delle Bachere,"Via Ca' Delle Bachere, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Querceto : Codice Asl: 17024/12R,Bovegno,Querceto,"Querceto, Bovegno, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via San Martino : Magno : Codice Asl: 17075/2R,Gardone Valtrompia,Via San Martino,"Via San Martino, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Lodrino: Piazza Marconi : Codice Asl: 17090/2R,Lodrino,Piazza Marconi,"Piazza Marconi, Lodrino, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Forcella : Cimmo : Codice Asl: 17183/3R,Tavernole Sul Mella,Via Forcella,"Via Forcella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via S. Carlo : Pezzoro : Codice Asl: 17183/6R,Tavernole Sul Mella,Via S. Carlo,"Via S. Carlo, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Snodo Dolomite : Rovedolo : Codice Asl: 17075/4R,Gardone Valtrompia,Snodo Dolomite,"Snodo Dolomite, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Irma : Via Nenvilla: Codice Asl: 17083/1R,Irma,Via Nenvilla,"Via Nenvilla, Irma, BS, Lombardia, Italia",POINT
Lodrino: Via Crocette : Codice Asl: 17090/1R,Lodrino,Via Crocette,"Via Crocette, Lodrino, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Missone : Cimmo : Codice Asl: 17183/5R,Tavernole Sul Mella,Via Missone,"Via Missone, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Piazza Chiesa : Pezzoro : Codice Asl: 17183/7R,Tavernole Sul Mella,Piazza Chiesa,"Piazza Chiesa, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Irma : S.P. 53,Irma,S.P. 53,"S.P. 53, Irma, BS, Lombardia, Italia",POINT
Bovegno: Zigole : Codice Asl: 17024/10R,Bovegno,Zigole,"Zigole, Bovegno, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Caregno : Codice Asl: 17075/1R,Gardone Valtrompia,Caregno,"Caregno, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Grumello C/O Ponte : Codice Asl: 17183/8R,Tavernole Sul Mella,Via Grumello C/O Ponte,"Via Grumello C/O Ponte, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Gardone VT : Via Alfieri,Gardone VT,Via Alfieri,"Via Alfieri, Gardone VT, BS, Lombardia, Italia",POINT
Sarezzo: Vicolo Mella : Codice Asl: 17174/1R,Sarezzo,Vicolo Mella,"Vicolo Mella, Sarezzo, BS, Lombardia, Italia",POINT
Sarezzo: Via Seradello : Codice Asl: 17174/2R,Sarezzo,Via Seradello,"Via Seradello, Sarezzo, BS, Lombardia, Italia",POINT
Sarezzo: Via Roma : Codice Asl: 17174/5R,Sarezzo,Via Roma,"Via Roma, Sarezzo, BS, Lombardia, Italia",POINT
Villa Carcina: Via S. Giuseppe : Cogozzo : Codice Asl: 17199/2R,Villa Carcina,Via S. Giuseppe,"Via S. Giuseppe, Villa Carcina, BS, Lombardia, Italia",POINT
Villa Carcina : Via Marconi,Villa Carcina,Via Marconi,"Via Marconi, Villa Carcina, BS, Lombardia, Italia",POINT
Sarezzo: Via I Maggio : Codice Asl: 17174/6R,Sarezzo,Via I Maggio,"Via I Maggio, Sarezzo, BS, Lombardia, Italia",POINT
Villa Carcina: Via Italia : Codice Asl: 17199/1R,Villa Carcina,Via Italia,"Via Italia, Villa Carcina, BS, Lombardia, Italia",POINT
Villa Carcina: Cimitero : Codice Asl: 17199/3R,Villa Carcina,Cimitero,"Cimitero, Villa Carcina, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via Foscolo : Codice Asl: 17075/6R,Gardone Valtrompia,Via Foscolo,"Via Foscolo, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Sarezzo : Via Gozzano,Sarezzo,Via Gozzano,"Via Gozzano, Sarezzo, BS, Lombardia, Italia",POINT
Gardone Valtrompia: Via Pascoli : Codice Asl: 17075/8R,Gardone Valtrompia,Via Pascoli,"Via Pascoli, Gardone Valtrompia, BS, Lombardia, Italia",POINT
Lodrino : Via Roma,Lodrino,Via Roma,"Via Roma, Lodrino, BS, Lombardia, Italia",POINT
Bovegno: Localita' Dossi Piani : Ludizzo : Codice Asl: 17024/13R,Bovegno,Localita' Dossi Piani,"Localita' Dossi Piani, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Via Pineta : Codice Asl: 17024/2R,Bovegno,Via Pineta,"Via Pineta, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Via Provinciale : Codice Asl: 17024/7R,Bovegno,Via Provinciale,"Via Provinciale, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Savenone : Codice Asl: 17024/9R,Bovegno,Savenone,"Savenone, Bovegno, BS, Lombardia, Italia",POINT
Lodrino: Via San Rocco : Invico : Codice Asl: 17090/3R,Lodrino,Via San Rocco,"Via San Rocco, Lodrino, BS, Lombardia, Italia",POINT
Bovegno: Via Roma : Codice Asl: 17024/1R,Bovegno,Via Roma,"Via Roma, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Via Chiesa : Magno : Codice Asl: 17024/4R,Bovegno,Via Chiesa,"Via Chiesa, Bovegno, BS, Lombardia, Italia",POINT
Pezzaze: Via Aiale : Codice Asl: 17141/3R,Pezzaze,Via Aiale,"Via Aiale, Pezzaze, BS, Lombardia, Italia",POINT
Pezzaze: Via Taverna : Lavone : Codice Asl: 17141/2R,Pezzaze,Via Taverna,"Via Taverna, Pezzaze, BS, Lombardia, Italia",POINT
Bovegno: Via Ca' Delle Bachere : Forno : Codice Asl: 17024/11R,Bovegno,Via Ca' Delle Bachere,"Via Ca' Delle Bachere, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Querceto : Codice Asl: 17024/12R,Bovegno,Querceto,"Querceto, Bovegno, BS, Lombardia, Italia",POINT
Lodrino: Piazza Marconi : Codice Asl: 17090/2R,Lodrino,Piazza Marconi,"Piazza Marconi, Lodrino, BS, Lombardia, Italia",POINT
Irma : Via Nenvilla: Codice Asl: 17083/1R,Irma,Via Nenvilla,"Via Nenvilla, Irma, BS, Lombardia, Italia",POINT
Lodrino: Via Crocette : Codice Asl: 17090/1R,Lodrino,Via Crocette,"Via Crocette, Lodrino, BS, Lombardia, Italia",POINT
Irma : S.P. 53,Irma,S.P. 53,"S.P. 53, Irma, BS, Lombardia, Italia",POINT
Bovegno: Zigole : Codice Asl: 17024/10R,Bovegno,Zigole,"Zigole, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Cimitero : Codice Asl: 17024/3R,Bovegno,Cimitero,"Cimitero, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Toccagni : Ludizzo : Codice Asl: 17024/5R,Bovegno,Toccagni,"Toccagni, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Piano Alto : Codice Asl: 17024/6R,Bovegno,Piano Alto,"Piano Alto, Bovegno, BS, Lombardia, Italia",POINT
Collio : P.zza Marconi,Collio,P.zza Marconi,"P.zza Marconi, Collio, BS, Lombardia, Italia",POINT
Collio: Piazza S. Barbara : S. Colombano : Codice Asl: 17058/4R,Collio,Piazza S. Barbara,"Piazza S. Barbara, Collio, BS, Lombardia, Italia",POINT
Collio: Ivino : Codice Asl: 17058/5R,Collio,Ivino,"Ivino, Collio, BS, Lombardia, Italia",POINT
Collio: Via Tizio : Codice Asl: 17058/1R,Collio,Via Tizio,"Via Tizio, Collio, BS, Lombardia, Italia",POINT
Collio: Via Bagozzi : Codice Asl: 17058/3R,Collio,Via Bagozzi,"Via Bagozzi, Collio, BS, Lombardia, Italia",POINT
Collio: Piazza Tavelli : Memmo : Codice Asl: 17058/2R,Collio,Piazza Tavelli,"Piazza Tavelli, Collio, BS, Lombardia, Italia",POINT
Pezzaze : Via Miniera,Pezzaze,Via Miniera,"Via Miniera, Pezzaze, BS, Lombardia, Italia",POINT
Bovegno: Localita' Dossi Piani : Ludizzo : Codice Asl: 17024/13R,Bovegno,Localita' Dossi Piani,"Localita' Dossi Piani, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Via Pineta : Codice Asl: 17024/2R,Bovegno,Via Pineta,"Via Pineta, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Via Provinciale : Codice Asl: 17024/7R,Bovegno,Via Provinciale,"Via Provinciale, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Savenone : Codice Asl: 17024/9R,Bovegno,Savenone,"Savenone, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Via Roma : Codice Asl: 17024/1R,Bovegno,Via Roma,"Via Roma, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Via Chiesa : Magno : Codice Asl: 17024/4R,Bovegno,Via Chiesa,"Via Chiesa, Bovegno, BS, Lombardia, Italia",POINT
Pezzaze: Via Aiale : Codice Asl: 17141/3R,Pezzaze,Via Aiale,"Via Aiale, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole sul Mella : P.zza del Mercato,Tavernole sul Mella,P.zza del Mercato,"P.zza del Mercato, Tavernole sul Mella, BS, Lombardia, Italia",POINT
Pezzaze: Via Taverna : Lavone : Codice Asl: 17141/2R,Pezzaze,Via Taverna,"Via Taverna, Pezzaze, BS, Lombardia, Italia",POINT
Pezzaze: Piazza Stravegnino : Codice Asl: 17141/4R,Pezzaze,Piazza Stravegnino,"Piazza Stravegnino, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Grumello C/O Santella : Codice Asl: 17183/9R,Tavernole Sul Mella,Via Grumello C/O Santella,"Via Grumello C/O Santella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Pezzaze: Piazza Mondaro : Codice Asl: 17141/1R,Pezzaze,Piazza Mondaro,"Piazza Mondaro, Pezzaze, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Amadini : Codice Asl: 17183/1R,Tavernole Sul Mella,Via Amadini,"Via Amadini, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Mella : Codice Asl: 17183/2R,Tavernole Sul Mella,Via Mella,"Via Mella, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
Bovegno: Via Ca' Delle Bachere : Forno : Codice Asl: 17024/11R,Bovegno,Via Ca' Delle Bachere,"Via Ca' Delle Bachere, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Querceto : Codice Asl: 17024/12R,Bovegno,Querceto,"Querceto, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Graticelle : Codice Asl: 17024/8R,Bovegno,Graticelle,"Graticelle, Bovegno, BS, Lombardia, Italia",POINT
Collio: Piazza Tavelli : Memmo : Codice Asl: 17058/2R,Collio,Piazza Tavelli,"Piazza Tavelli, Collio, BS, Lombardia, Italia",POINT
Irma : Via Nenvilla: Codice Asl: 17083/1R,Irma,Via Nenvilla,"Via Nenvilla, Irma, BS, Lombardia, Italia",POINT
Irma : S.P. 53,Irma,S.P. 53,"S.P. 53, Irma, BS, Lombardia, Italia",POINT
Bovegno: Zigole : Codice Asl: 17024/10R,Bovegno,Zigole,"Zigole, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Cimitero : Codice Asl: 17024/3R,Bovegno,Cimitero,"Cimitero, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Toccagni : Ludizzo : Codice Asl: 17024/5R,Bovegno,Toccagni,"Toccagni, Bovegno, BS, Lombardia, Italia",POINT
Bovegno: Piano Alto : Codice Asl: 17024/6R,Bovegno,Piano Alto,"Piano Alto, Bovegno, BS, Lombardia, Italia",POINT
Tavernole Sul Mella: Via Grumello C/O Ponte : Codice Asl: 17183/8R,Tavernole Sul Mella,Via Grumello C/O Ponte,"Via Grumello C/O Ponte, Tavernole Sul Mella, BS, Lombardia, Italia",POINT
