alias_address,alias_city,geocode,geometry,georeferencingString
Falzè di Piave,Sernaglia della Battaglia</strong> <br />,"Falzè di Piave, Treviso, Veneto, 31020, Italia","{'type': 'Point', 'coordinates': [12.1677081, 45.8607248]}",Sernaglia della Battaglia  Falzè di Piave
Fontigo,Sernaglia della Battaglia</strong> <br />,"Fontigo, Treviso, Veneto, 31010, Italia","{'type': 'Point', 'coordinates': [12.1197278, 45.8610752]}",Sernaglia della Battaglia  Fontigo
Capoluogo,Sernaglia della Battaglia</strong> <br />,"Sernaglia della Battaglia, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.1331619, 45.8747312]}",Sernaglia della Battaglia
Lovadina,Spresiano</strong> <br />,"Lovadina, Treviso, Veneto, 31027, Italia","{'type': 'Point', 'coordinates': [12.2750057, 45.7662522]}",Spresiano  Lovadina
Capoluogo,Spresiano</strong> <br />,"Spresiano, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2593456, 45.7803913]}",Spresiano
Visnadello,Spresiano</strong> <br />,"Visnadello, Treviso, Veneto, 31027, Italia","{'type': 'Point', 'coordinates': [12.2514021, 45.7581099]}",Spresiano  Visnadello
Colmaggiore,Tarzo</strong> <br />,"Colmaggiore, Tarzo, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2341887, 45.9851668]}",Tarzo  Colmaggiore
Corbanese,Tarzo</strong> <br />,"Corbanese, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2364874, 45.9499129]}",Tarzo  Corbanese
Fratta,Tarzo</strong> <br />,"Fratta, Tarzo, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2238374, 45.9783414]}",Tarzo  Fratta
Capoluogo,Tarzo</strong> <br />,"Tarzo, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2326452, 45.9726622]}",Tarzo
Falzè,Trevignano</strong> <br />,"Falzè, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0925347, 45.7434446]}",Trevignano  Falzè
Musano,Trevignano</strong> <br />,"Musano, Treviso, Veneto, 31050, Italia","{'type': 'Point', 'coordinates': [12.1180062, 45.7256552]}",Trevignano  Musano
Signoressa,Trevignano</strong> <br />,"Trevignano-Signoressa, Via Stazione, Riosa, Trevignano, Treviso, Veneto, 31050, Italia","{'type': 'Point', 'coordinates': [12.1030323, 45.7478606]}",Trevignano  Signoressa
Capoluogo,Trevignano</strong> <br />,"Trevignano, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0940161, 45.733501]}",Trevignano
Canizzano,Treviso</strong> <br />,"Canizzano, Treviso, Veneto, 31055, Italia","{'type': 'Point', 'coordinates': [12.1992111, 45.6424542]}",Treviso  Canizzano
Centro,Treviso</strong> <br />,"Centro, Posmon, Montebelluna, Treviso, Veneto, 31044, Italia","{'type': 'Point', 'coordinates': [12.0442772, 45.774103]}",Treviso  Centro
Fiera,Treviso</strong> <br />,"Fiera, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.2683309, 45.6616734]}",Treviso  Fiera
San Giuseppe,Treviso</strong> <br />,"San Giuseppe, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.2188652, 45.660832]}",Treviso  San Giuseppe
San Liberale,Treviso</strong> <br />,"Duomo di Santa Maria Assunta e San Liberale, Piazza San Liberale, Bella Venezia, Castelfranco Veneto, Treviso, Veneto, 31033, Italia","{'type': 'Point', 'coordinates': [11.926788077735026, 45.67075215]}",Treviso  San Liberale
San Zeno,Treviso</strong> <br />,"San Zeno, Borgo Mestre, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.2435599, 45.6585601]}",Treviso  San Zeno
Santa Bona,Treviso</strong> <br />,"Santa Bona, Strada Santa Bona Nuova, Area Appiani, Fontanelle, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.218363818815426, 45.68642095]}",Treviso  Santa Bona
Santa Maria del Rovere,Treviso</strong> <br />,"Santa Maria del Rovere, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.2531791, 45.6825378]}",Treviso  Santa Maria del Rovere
Selvana,Treviso</strong> <br />,"Selvana, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.2627741, 45.6759796]}",Treviso  Selvana
Zona Castellana,Treviso</strong> <br />,"Castellana, Montebelluna, Treviso, Veneto, 31030, Italia","{'type': 'Point', 'coordinates': [12.0170009, 45.7534883]}",Treviso   Castellana
Zona Sacro Cuore,Treviso</strong> <br />,"Sacro Cuore, Via Dalmazia, Area Appiani, Fontanelle, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.23665049592618, 45.6714841]}",Treviso   Sacro Cuore
Bigolino,Valdobbiadene</strong> <br />,"Bigolino, Treviso, Veneto, 31049, Italia","{'type': 'Point', 'coordinates': [12.0125314, 45.8686207]}",Valdobbiadene  Bigolino
Guia,Valdobbiadene</strong> <br />,"Guia, Treviso, Veneto, 31049, Italia","{'type': 'Point', 'coordinates': [12.0550101, 45.9115994]}",Valdobbiadene  Guia
Pianezze,Valdobbiadene</strong> <br />,"Pianezze di Valdobbiadene, Valdobbiadene, Treviso, Veneto, 31049, Italia","{'type': 'Point', 'coordinates': [12.0159833, 45.9244871]}",Valdobbiadene  Pianezze
San Giovanni,Valdobbiadene</strong> <br />,"San Giovanni, Valdobbiadene, Treviso, Veneto, 31049, Italia","{'type': 'Point', 'coordinates': [12.0295672, 45.8759055]}",Valdobbiadene  San Giovanni
San Vito,Valdobbiadene</strong> <br />,"San Vito, Valdobbiadene, Treviso, Veneto, 31049, Italia","{'type': 'Point', 'coordinates': [11.9687281, 45.8963248]}",Valdobbiadene  San Vito
Santo Stefano,Valdobbiadene</strong> <br />,"Santo Stefano, Treviso, Veneto, 31049, Italia","{'type': 'Point', 'coordinates': [12.0377786, 45.9055653]}",Valdobbiadene  Santo Stefano
Capoluogo,Valdobbiadene</strong> <br />,"Valdobbiadene, Treviso, Veneto, 31049, Italia","{'type': 'Point', 'coordinates': [11.9955244, 45.901456]}",Valdobbiadene
Albaredo,Vedelago</strong> <br />,"Albaredo, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0084907, 45.6666678]}",Vedelago  Albaredo
Barcon,Vedelago</strong> <br />,"Barcon, Madonna di Caravaggio, Vedelago, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.012661220827543, 45.72264335]}",Vedelago  Barcon
Carpenedo & Cavasagra,Vedelago</strong> <br />,"Via Trento e Trieste in Frazione Cavasagra, Carpenedo, Vedelago, Treviso, Veneto, 31036, Italia","{'type': 'Point', 'coordinates': [12.053998, 45.6788899]}",Vedelago  Carpenedo & Cavasagra
Casacorba,Vedelago</strong> <br />,"Casacorba, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.031952, 45.6604658]}",Vedelago  Casacorba
Fanzolo,Vedelago</strong> <br />,"Fanzolo, Via Monte Grappa, Madonna di Caravaggio, Vedelago, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [11.9918538, 45.708345]}",Vedelago  Fanzolo
Fossalunga,Vedelago</strong> <br />,"Fossalunga di Vedelago, Treviso, Veneto, 31036, Italia","{'type': 'Point', 'coordinates': [12.0555214, 45.6940852]}",Vedelago  Fossalunga
Capoluogo,Vedelago</strong> <br />,"Vedelago, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0180367, 45.6866953]}",Vedelago
Bosco,Vidor</strong> <br />,"Bosco di Vidor, Treviso, Veneto, 31035, Italia","{'type': 'Point', 'coordinates': [12.0598514, 45.8581387]}",Vidor  Bosco
Carità,Villorba</strong> <br />,"Carità, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.2587081, 45.7119876]}",Villorba  Carità
Catena,Villorba</strong> <br />,"Catena, Treviso, Veneto, 31027, Italia","{'type': 'Point', 'coordinates': [12.2662796, 45.7365425]}",Villorba  Catena
Fontane,Villorba</strong> <br />,"Fontane, Treviso, Veneto, 31100, Italia","{'type': 'Point', 'coordinates': [12.2471852, 45.7065895]}",Villorba  Fontane
Lancenigo,Villorba</strong> <br />,"Lancenigo, Via della Libertà, San Sisto, Villorba, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2655439, 45.7101563]}",Villorba  Lancenigo
San Sisto,Villorba</strong> <br />,"San Sisto, Villorba, Treviso, Veneto, 31052, Italia","{'type': 'Point', 'coordinates': [12.2816847, 45.7177628]}",Villorba  San Sisto
Capoluogo,Villorba</strong> <br />,"Villorba, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.2562455, 45.7292486]}",Villorba
Selva del Montello,Volpago del Montello</strong> <br />,"Selva del Montello, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.1446371, 45.7861831]}",Volpago del Montello  Selva del Montello
Venegazzù,Volpago del Montello</strong> <br />,"Venegazzù, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0948751, 45.7770122]}",Volpago del Montello  Venegazzù
Santa Maria della Vittoria,Volpago del Montello </strong> <br />,"Santa Maria della Vittoria, Volpago del Montello, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.0964953, 45.8073582]}",Volpago del Montello   Santa Maria della Vittoria
Volpago del Montello,Volpago del Montello </strong> <br />,"Volpago del Montello, Treviso, Veneto, Italia","{'type': 'Point', 'coordinates': [12.1259456, 45.7770452]}",Volpago del Montello   Volpago del Montello
